time,temperature_2m (°C),relative_humidity_2m (%),rain (mm)
2022-07-19T00:00,28.2,90,0.00
2022-07-19T01:00,27.9,89,0.00
2022-07-19T02:00,27.5,83,0.00
2022-07-19T03:00,27.2,82,0.00
2022-07-19T04:00,26.8,83,0.00
2022-07-19T05:00,26.3,86,0.00
2022-07-19T06:00,26.5,84,0.00
2022-07-19T07:00,27.5,80,0.00
2022-07-19T08:00,28.7,75,0.00
2022-07-19T09:00,29.8,71,0.00
2022-07-19T10:00,31.2,67,0.00
2022-07-19T11:00,32.4,63,0.10
2022-07-19T12:00,33.2,60,0.00
2022-07-19T13:00,33.3,60,0.00
2022-07-19T14:00,32.4,66,0.60
2022-07-19T15:00,29.3,81,0.70
2022-07-19T16:00,30.3,75,0.40
2022-07-19T17:00,29.7,78,0.10
2022-07-19T18:00,29.5,78,0.00
2022-07-19T19:00,29.0,76,0.30
2022-07-19T20:00,28.9,78,0.00
2022-07-19T21:00,29.4,75,0.00
2022-07-19T22:00,28.9,74,0.00
2022-07-19T23:00,28.5,74,0.00
2022-07-20T00:00,28.2,75,0.00
2022-07-20T01:00,27.9,76,0.00
2022-07-20T02:00,27.7,77,0.00
2022-07-20T03:00,27.3,78,0.00
2022-07-20T04:00,27.0,80,0.00
2022-07-20T05:00,26.7,81,0.00
2022-07-20T06:00,26.7,81,0.00
2022-07-20T07:00,27.3,79,0.00
2022-07-20T08:00,28.1,75,0.00
2022-07-20T09:00,29.3,71,0.00
2022-07-20T10:00,29.9,69,0.00
2022-07-20T11:00,31.0,67,0.00
2022-07-20T12:00,31.9,65,0.10
2022-07-20T13:00,32.1,63,0.10
2022-07-20T14:00,29.6,73,1.90
2022-07-20T15:00,27.8,83,2.20
2022-07-20T16:00,27.2,86,6.50
2022-07-20T17:00,27.1,85,0.70
2022-07-20T18:00,27.5,84,0.10
2022-07-20T19:00,28.0,84,0.10
2022-07-20T20:00,27.6,87,0.00
2022-07-20T21:00,26.7,90,5.80
2022-07-20T22:00,25.9,91,4.60
2022-07-20T23:00,25.8,92,2.40
2022-07-21T00:00,25.7,92,1.10
2022-07-21T01:00,25.8,91,1.80
2022-07-21T02:00,25.6,91,1.10
2022-07-21T03:00,25.8,90,1.30
2022-07-21T04:00,25.8,90,1.40
2022-07-21T05:00,26.0,91,1.00
2022-07-21T06:00,26.2,89,0.90
2022-07-21T07:00,26.9,88,1.30
2022-07-21T08:00,26.8,88,1.70
2022-07-21T09:00,26.2,88,4.50
2022-07-21T10:00,25.8,89,1.80
2022-07-21T11:00,26.2,88,2.60
2022-07-21T12:00,27.0,85,1.70
2022-07-21T13:00,27.5,82,0.60
2022-07-21T14:00,28.2,79,0.20
2022-07-21T15:00,28.4,77,0.10
2022-07-21T16:00,28.2,80,0.00
2022-07-21T17:00,28.5,74,0.20
2022-07-21T18:00,27.5,83,0.30
2022-07-21T19:00,26.5,86,0.60
2022-07-21T20:00,25.9,90,1.10
2022-07-21T21:00,26.3,86,2.20
2022-07-21T22:00,26.5,86,2.70
2022-07-21T23:00,26.6,88,1.30
2022-07-22T00:00,26.7,86,0.60
2022-07-22T01:00,26.5,89,0.20
2022-07-22T02:00,26.5,89,0.10
2022-07-22T03:00,26.4,89,0.20
2022-07-22T04:00,26.3,89,0.20
2022-07-22T05:00,26.4,88,0.20
2022-07-22T06:00,26.6,86,0.00
2022-07-22T07:00,27.3,81,0.00
2022-07-22T08:00,28.0,77,0.10
2022-07-22T09:00,28.4,76,0.00
2022-07-22T10:00,28.6,74,0.60
2022-07-22T11:00,28.1,79,0.00
2022-07-22T12:00,28.7,76,0.00
2022-07-22T13:00,28.7,77,1.10
2022-07-22T14:00,28.9,76,0.10
2022-07-22T15:00,27.9,81,1.30
2022-07-22T16:00,27.5,83,1.40
2022-07-22T17:00,27.7,83,1.00
2022-07-22T18:00,27.6,83,0.10
2022-07-22T19:00,28.3,82,0.00
2022-07-22T20:00,28.1,83,0.30
2022-07-22T21:00,27.8,85,1.80
2022-07-22T22:00,27.4,88,1.80
2022-07-22T23:00,27.3,88,0.00
2022-07-23T00:00,26.7,91,0.40
2022-07-23T01:00,26.2,93,1.30
2022-07-23T02:00,26.6,90,0.20
2022-07-23T03:00,27.0,85,0.00
2022-07-23T04:00,27.2,84,0.00
2022-07-23T05:00,27.0,85,0.30
2022-07-23T06:00,26.9,85,0.40
2022-07-23T07:00,27.6,84,0.30
2022-07-23T08:00,28.2,80,0.00
2022-07-23T09:00,28.4,79,0.00
2022-07-23T10:00,28.6,78,0.00
2022-07-23T11:00,28.8,76,0.00
2022-07-23T12:00,29.2,75,0.00
2022-07-23T13:00,29.4,75,0.00
2022-07-23T14:00,29.6,75,0.00
2022-07-23T15:00,29.7,75,0.00
2022-07-23T16:00,29.2,76,0.00
2022-07-23T17:00,28.6,79,0.00
2022-07-23T18:00,27.7,82,0.20
2022-07-23T19:00,28.6,79,0.00
2022-07-23T20:00,28.0,84,0.70
2022-07-23T21:00,27.6,87,0.20
2022-07-23T22:00,27.1,91,0.00
2022-07-23T23:00,26.8,91,0.00
2022-07-24T00:00,26.5,93,0.00
2022-07-24T01:00,26.0,97,0.00
2022-07-24T02:00,25.8,98,0.00
2022-07-24T03:00,25.5,97,0.00
