time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),cloud_cover (%),wind_speed_10m (km/h)
2022-07-19T00:00,28.2,90,26.3,34.7,0.00,0.00,28,7.8
2022-07-19T01:00,27.9,89,25.9,34.0,0.00,0.00,28,8.4
2022-07-19T02:00,27.5,83,24.4,32.6,0.00,0.00,4,9.0
2022-07-19T03:00,27.2,82,23.9,31.9,0.00,0.00,8,9.4
2022-07-19T04:00,26.8,83,23.7,31.7,0.00,0.00,18,7.6
2022-07-19T05:00,26.3,86,23.8,31.7,0.00,0.00,13,4.4
2022-07-19T06:00,26.5,84,23.6,31.2,0.00,0.00,2,8.0
2022-07-19T07:00,27.5,80,23.7,31.9,0.00,0.00,1,10.9
2022-07-19T08:00,28.7,75,23.7,33.1,0.00,0.00,3,10.5
2022-07-19T09:00,29.8,71,24.0,34.4,0.00,0.00,16,10.3
2022-07-19T10:00,31.2,67,24.3,36.0,0.00,0.00,38,13.7
2022-07-19T11:00,32.4,63,24.4,37.7,0.10,0.10,36,16.6
2022-07-19T12:00,33.2,60,24.3,39.0,0.00,0.00,40,15.0
2022-07-19T13:00,33.3,60,24.5,39.5,0.00,0.00,39,14.0
2022-07-19T14:00,32.4,66,25.3,38.7,0.60,0.60,76,14.9
2022-07-19T15:00,29.3,81,25.7,34.5,0.70,0.70,92,13.9
2022-07-19T16:00,30.3,75,25.3,35.1,0.40,0.40,97,14.3
2022-07-19T17:00,29.7,78,25.4,34.7,0.10,0.10,41,13.5
2022-07-19T18:00,29.5,78,25.2,35.2,0.00,0.00,33,8.2
2022-07-19T19:00,29.0,76,24.2,33.9,0.30,0.30,32,9.2
2022-07-19T20:00,28.9,78,24.7,34.3,0.00,0.00,36,8.5
2022-07-19T21:00,29.4,75,24.4,33.4,0.00,0.00,38,16.3
2022-07-19T22:00,28.9,74,23.7,32.5,0.00,0.00,49,16.4
2022-07-19T23:00,28.5,74,23.3,32.5,0.00,0.00,31,11.3
2022-07-20T00:00,28.2,75,23.4,32.2,0.00,0.00,38,12.0
2022-07-20T01:00,27.9,76,23.3,31.8,0.00,0.00,42,12.1
2022-07-20T02:00,27.7,77,23.3,31.2,0.00,0.00,40,14.8
2022-07-20T03:00,27.3,78,23.2,31.3,0.00,0.00,40,11.5
2022-07-20T04:00,27.0,80,23.2,31.7,0.00,0.00,31,6.7
2022-07-20T05:00,26.7,81,23.2,31.6,0.00,0.00,35,4.9
2022-07-20T06:00,26.7,81,23.2,31.4,0.00,0.00,42,6.2
2022-07-20T07:00,27.3,79,23.3,32.2,0.00,0.00,53,5.5
2022-07-20T08:00,28.1,75,23.3,32.9,0.00,0.00,49,6.1
2022-07-20T09:00,29.3,71,23.6,33.2,0.00,0.00,62,13.0
2022-07-20T10:00,29.9,69,23.5,34.0,0.00,0.00,31,12.3
2022-07-20T11:00,31.0,67,24.0,36.7,0.00,0.00,39,11.9
2022-07-20T12:00,31.9,65,24.4,38.2,0.10,0.10,50,12.3
2022-07-20T13:00,32.1,63,24.2,38.1,0.10,0.10,100,10.5
2022-07-20T14:00,29.6,73,24.3,34.1,1.90,1.90,100,13.7
2022-07-20T15:00,27.8,83,24.7,32.6,2.20,2.20,100,12.7
2022-07-20T16:00,27.2,86,24.7,31.9,6.50,6.50,76,13.1
2022-07-20T17:00,27.1,85,24.4,31.2,0.70,0.70,62,15.6
2022-07-20T18:00,27.5,84,24.6,32.4,0.10,0.10,64,11.3
2022-07-20T19:00,28.0,84,25.0,33.9,0.10,0.10,81,6.0
2022-07-20T20:00,27.6,87,25.2,34.0,0.00,0.00,56,3.6
2022-07-20T21:00,26.7,90,25.0,32.0,5.80,5.80,100,10.1
2022-07-20T22:00,25.9,91,24.3,30.3,4.60,4.60,100,12.8
2022-07-20T23:00,25.8,92,24.4,30.9,2.40,2.40,66,8.5
2022-07-21T00:00,25.7,92,24.3,31.2,1.10,1.10,77,5.5
2022-07-21T01:00,25.8,91,24.2,31.4,1.80,1.80,100,4.3
2022-07-21T02:00,25.6,91,24.1,31.2,1.10,1.10,100,3.9
2022-07-21T03:00,25.8,90,24.0,30.8,1.30,1.30,92,7.9
2022-07-21T04:00,25.8,90,24.1,31.1,1.40,1.40,97,6.6
2022-07-21T05:00,26.0,91,24.4,31.7,1.00,1.00,100,4.7
2022-07-21T06:00,26.2,89,24.3,31.8,0.90,0.90,100,4.9
2022-07-21T07:00,26.9,88,24.6,32.5,1.30,1.30,79,6.5
2022-07-21T08:00,26.8,88,24.6,32.0,1.70,1.70,100,9.5
2022-07-21T09:00,26.2,88,24.0,30.5,4.50,4.50,94,12.4
2022-07-21T10:00,25.8,89,23.8,30.5,1.80,1.80,100,9.1
2022-07-21T11:00,26.2,88,24.1,31.3,2.60,2.60,100,7.6
2022-07-21T12:00,27.0,85,24.2,31.5,1.70,1.70,100,12.6
2022-07-21T13:00,27.5,82,24.2,31.6,0.60,0.60,100,14.8
2022-07-21T14:00,28.2,79,24.2,32.1,0.20,0.20,100,15.8
2022-07-21T15:00,28.4,77,24.1,32.1,0.10,0.10,100,17.4
2022-07-21T16:00,28.2,80,24.4,32.2,0.00,0.00,97,16.0
